created_at,created_at,lastYear,currYear
2020-02-01,2020/02/01,26,61
2020-02-02,2020/02/02,32,30
2020-02-03,2020/02/03,29,38
2020-02-04,2020/02/04,30,35
2020-02-05,2020/02/05,36,17
2020-02-06,2020/02/06,44,25
2020-02-07,2020/02/07,57,33
2020-02-08,2020/02/08,59,46
2020-02-09,2020/02/09,53,69
2020-02-10,2020/02/10,62,60
2020-02-11,2020/02/11,21,29
2020-02-12,2020/02/12,12,16
2020-02-13,2020/02/13,14,23
2020-02-14,2020/02/14,45,33
2020-02-15,2020/02/15,62,51
2020-02-16,2020/02/16,74,62
2020-02-17,2020/02/17,71,44
2020-02-18,2020/02/18,41,52
2020-02-19,2020/02/19,21,47
2020-02-20,2020/02/20,53,17
2020-02-21,2020/02/21,69,35
2020-02-22,2020/02/22,63,43
2020-02-23,2020/02/23,33,38
2020-02-24,2020/02/24,21,37
2020-02-25,2020/02/25,48,51
2020-02-26,2020/02/26,39,30
2020-02-27,2020/02/27,44,9
2020-02-28,2020/02/28,42,10
2020-02-29,2020/02/29,38,21
2020-03-01,2020/03/01,34,31
2020-03-02,2020/03/02,29,27
2020-03-03,2020/03/03,24,21
2020-03-04,2020/03/04,19,23
2020-03-05,2020/03/05,31,19
2020-03-06,2020/03/06,29,23
2020-03-07,2020/03/07,22,31
2020-03-08,2020/03/08,10,18
2020-03-09,2020/03/09,12,24
2020-03-10,2020/03/10,8,22
2020-03-11,2020/03/11,8,12
2020-03-12,2020/03/12,11,19
2020-03-13,2020/03/13,18,7
2020-03-14,2020/03/14,8,32
2020-03-15,2020/03/15,7,19
2020-03-16,2020/03/16,14,26
2020-03-17,2020/03/17,7,34
2020-03-18,2020/03/18,17,40
2020-03-19,2020/03/19,22,36
2020-03-20,2020/03/20,33,41
2020-03-21,2020/03/21,41,25
2020-03-22,2020/03/22,34,25
2020-03-23,2020/03/23,20,13
2020-03-24,2020/03/24,10,15
2020-03-25,2020/03/25,12,14
2020-03-26,2020/03/26,12,16
2020-03-28,2020/03/28,19,24
2020-03-29,2020/03/29,32,24
2020-04-01,2020/04/01,33,17
